--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;18/03/1961;1800;21.2;19.5;85;924.7;18;4.1;10;
83781;19/03/1961;0000;19.3;18.6;93;926.6;18;2.6;10;
83781;19/03/1961;1200;19.3;18.7;94;926;0;0;10;
83781;19/03/1961;1800;20.1;18.9;89;924.6;18;7.7;10;
83781;20/03/1961;0000;18.7;18.4;97;926.6;18;3.1;10;
83781;20/03/1961;1200;20.2;19.4;92;925.6;9;2.6;10;
83781;20/03/1961;1800;25.8;21.3;66;923.4;9;2.6;10;
83781;21/03/1961;0000;21.2;20.7;95;925.5;5;1.5;10;
83781;21/03/1961;1200;23;20.4;79;927;36;1;8;
83781;21/03/1961;1800;26.7;22.4;68;925.9;32;7.7;8;
83781;22/03/1961;0000;21;20.4;94;928.2;9;3.1;9;
83781;22/03/1961;1200;21.6;20.2;88;929.8;14;1.5;7;
83781;22/03/1961;1800;26.6;22.6;71;927.4;18;7.7;8;
83781;23/03/1961;0000;21.5;20.6;92;929.5;14;2.6;10;
83781;23/03/1961;1200;21.2;19.9;88;929.8;18;3.1;10;
83781;23/03/1961;1800;28.2;22.1;58;927.1;0;0;3;
83781;24/03/1961;0000;21.7;20.4;88;929.1;18;3.1;10;
83781;24/03/1961;1200;21.8;20;85;928.8;0;0;9;
83781;24/03/1961;1800;27.1;21.3;58;926.4;9;5.1;8;
83781;25/03/1961;0000;21.7;20.4;88;927.8;14;3.1;10;
83781;25/03/1961;1200;21.7;20.3;87;927.8;36;0.5;3;
83781;25/03/1961;1800;29.8;21.7;48;924.8;32;3.1;7;
83781;26/03/1961;0000;24;22.3;86;926.4;0;0;2;
83781;26/03/1961;1200;24.9;21.6;75;926.2;0;0;0;
83781;26/03/1961;1800;21;19.9;90;925.5;23;;10;
83781;27/03/1961;0000;18.3;17.2;89;928.6;18;3.6;8;
83781;27/03/1961;1200;16.6;15.6;90;931.1;14;3.1;8;
83781;27/03/1961;1800;18.1;16.2;82;930.3;14;7.7;10;
83781;28/03/1961;0000;14.9;14.2;93;931;14;3.6;10;
83781;28/03/1961;1200;16.2;13.6;74;933.2;14;4.1;10;
83781;28/03/1961;1800;18.5;15;69;931.5;14;7.7;8;
83781;29/03/1961;0000;14.6;13.8;92;931.9;14;3.6;5;
83781;29/03/1961;1200;16.1;14.7;85;932.2;9;3.1;10;
83781;29/03/1961;1800;20.7;15.8;59;929.5;14;3.1;7;
83781;30/03/1961;0000;15.4;13.7;83;931.4;9;3.1;4;
83781;30/03/1961;1200;17;14.8;79;931.4;9;2.6;6;
83781;30/03/1961;1800;18.9;16.4;77;929.4;14;3.1;8;
83781;31/03/1961;0000;15.4;14.6;92;930.3;14;2.6;1;
83781;31/03/1961;1200;13.6;13.3;97;929.9;9;2.6;10;
83781;31/03/1961;1800;24;17.9;54;925.6;9;2.1;7;
83781;01/04/1961;0000;17.4;16.2;88;928.2;9;2.6;5;
83781;01/04/1961;1200;17.9;16.1;83;927.9;5;2.6;3;
83781;01/04/1961;1800;26.2;18.6;47;923.2;32;3.6;6;
83781;02/04/1961;0000;19.8;16.5;71;924.7;0;0;10;
