--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;12/03/1961;1200;27.1;25.5;87;1007.9;0;0;10;
83743;12/03/1961;1800;29.4;25.3;71;1004.2;14;5;4;
83743;13/03/1961;0000;23.4;22.8;94;1009.6;23;7.4;10;
83743;13/03/1961;1200;27.3;24.1;76;1006.2;0;0;6;
83743;13/03/1961;1800;32.4;26.8;63;1003.6;0;0;6;
83743;14/03/1961;0000;29.4;26.8;81;1006.7;0;0;9;
83743;14/03/1961;1200;26.8;24.4;81;1007.8;0;0;9;
83743;14/03/1961;1800;29.4;24.6;67;1005.8;9;6.7;7;
83743;15/03/1961;0000;27.2;25;83;1009.8;0;0;9;
83743;15/03/1961;1200;27.1;24.2;78;1009.6;0;0;3;
83743;15/03/1961;1800;28.4;24.6;73;1006.6;14;8;3;
83743;16/03/1961;0000;26.3;25;90;1009.5;0;0;10;
83743;16/03/1961;1200;27;25;84;1008.2;0;0;5;
83743;16/03/1961;1800;33.1;26.2;56;1004.3;36;1;6;
83743;17/03/1961;0000;29.4;26.7;80;1006.8;0;0;3;
83743;17/03/1961;1200;29.5;26.4;77;1007.9;0;0;8;
83743;17/03/1961;1800;33.6;26.5;55;1005.5;36;1.8;8;
83743;18/03/1961;0000;30.2;26.7;75;1007.8;0;0;0;
83743;18/03/1961;1200;27.4;24.9;80;1010.3;14;3;4;
83743;18/03/1961;1800;28.6;25;73;1007.4;14;5;7;
83743;19/03/1961;0000;25.8;24.2;88;1011.4;0;0;10;
83743;19/03/1961;1200;26.7;24.6;84;1010.4;0;0;8;
83743;19/03/1961;1800;28.5;25;74;1007.4;14;5;10;
83743;20/03/1961;0000;25.9;24.6;90;1011;0;0;10;
83743;20/03/1961;1200;26.4;24.2;83;1011.2;0;0;7;
83743;20/03/1961;1800;28.2;24.9;75;1008.7;14;4.7;2;
83743;21/03/1961;0000;26.2;24.4;86;1010.8;14;2;0;
83743;21/03/1961;1200;26.2;24.6;88;1011.9;0;0;6;
83743;21/03/1961;1800;30.4;25.4;65;1009.4;14;3;5;
83743;22/03/1961;0000;29.2;25.6;74;1013;0;0;6;
83743;22/03/1961;1200;27.2;25.1;84;1014.6;0;0;7;
83743;22/03/1961;1800;29;25.8;76;1012.7;9;7;4;
83743;23/03/1961;0000;26.9;24.8;84;1014.4;0;0;8;
83743;23/03/1961;1200;26.8;24.4;81;1015.2;0;0;6;
83743;23/03/1961;1800;28.8;24.9;71;1013;14;4.6;6;
83743;24/03/1961;0000;26.8;23.6;75;1013.8;0;0;0;
